Re,alpha,CL,CD,CM
20000,-5.5,-0.4221886797844868,0.07073904767149111,-0.0023657427438279993
20000,-5,-0.3553867487474113,0.06542662724438764,-0.006383685612105006
20000,-4.5,-0.2385965316354957,0.05979560434939774,-0.01940072170906332
20000,-4,-0.13591307612248218,0.05522716621646064,-0.03237369841937611
20000,-3.5,-0.09130549036916297,0.05257612232280572,-0.03715115230916485
20000,-3,-0.08624477538449676,0.05109161008468573,-0.03557874879007152
20000,-2.5,-0.09370690909277524,0.05002378811657401,-0.03154236712725005
20000,-2,-0.10259744864419473,0.049162031068110124,-0.02675606446316745
20000,-1.5,-0.11037657592184302,0.04844537534729114,-0.02173872552084643
20000,-1,-0.11699913955788954,0.04780917732853255,-0.0166362754732396
20000,-0.5,-0.12271688190164629,0.04721542786324545,-0.011506810230771736
20000,0,-0.12710955186642892,0.04668731983718385,-0.006488072494725414
20000,0.5,-0.1285682914979097,0.04631869552513774,-0.0019325701278374546
20000,1,-0.12455367091177896,0.04625091976409929,0.0016012862726539274
20000,1.5,-0.11283046691901097,0.04661769660567414,0.0035995243668304013
20000,2,-0.09277087215898344,0.04749341762010409,0.0039115580386278204
20000,2.5,-0.0655598635243767,0.048881508275545764,0.002815098816070562
20000,3,-0.033400682296329254,0.050737639835489415,0.0007958213593744201
20000,3.5,0.0013977973461244686,0.05300103614012938,-0.0016945659061853111
20000,4,0.036973064999813066,0.05561649271685467,-0.004340540716932966
20000,4.5,0.07209253413357758,0.05854201432329125,-0.006961892594451749
20000,5,0.10608939147766977,0.061746450984685584,-0.009477302285754231
20000,5.5,0.13867982192491782,0.06520527674045622,-0.01186403528386439
20000,6,0.16978164366691773,0.06889907210078713,-0.01412866768388825
20000,6.5,0.1994045579426751,0.07281484525391732,-0.016294244002187354
20000,7,0.22761518380308193,0.07694887047504499,-0.01840009754297576
20000,7.5,0.25454240948611045,0.0813096766385018,-0.020507257403937582
20000,8,0.28038867344340995,0.08592036798044479,-0.022704881857605292
20000,8.5,0.305465730344058,0.09082498210738713,-0.025122498677622274
20000,9,0.3304766735345921,0.09612526789660547,-0.027982864892831937
20000,9.5,0.35770571560664677,0.10211865969637791,-0.03179448567182533
20000,10,0.39321214464788673,0.1095582069777537,-0.03766707445725639
20000,10.5,0.44300545631524524,0.1192656698359048,-0.046476813420081094
20000,11,0.4956884517301461,0.12972116656550967,-0.055713217571581625
20000,11.5,0.5323473730247881,0.13790978353623928,-0.06169387043003273
20000,12,0.5572369744274381,0.1444659512080305,-0.0652959106058145
20000,12.5,0.5811651365209973,0.15111765024245144,-0.06849094428477423
20000,13,0.6073071691106299,0.15838953664073838,-0.07179500355587795
20000,13.5,0.6338178411310292,0.1661040617058073,-0.0749985854935059
20000,14,0.6582156304725444,0.17374301476126483,-0.07790077772361978
20000,14.5,0.6806147480149429,0.1811048726431452,-0.0806134871370149
20000,15,0.7023777643714917,0.18819424143616656,-0.08336177412631432
20000,15.5,0.7240344223550681,0.1948867381527533,-0.08626051113184184
20000,16,0.7455037375293184,0.20111962769339642,-0.089323909086596
20000,16.5,0.7666178317811568,0.20696201215971294,-0.09252225436463549
20000,17,0.7872887537509192,0.21253445795388726,-0.09580827605247785
20000,17.5,0.8075749760289748,0.21795036323834324,-0.09912544496563008
20000,18,0.8276878281501803,0.22330932393526517,-0.10242037248419986
20000,18.5,0.8478307561522679,0.22868142559499038,-0.10567046558012506
20000,19,0.8680091572665904,0.23407806607050793,-0.10890698575123468
20000,19.5,0.8880211636788047,0.23945184806654446,-0.11220638986172639
20000,20,0.9076100871460153,0.24473317071758185,-0.11564552864636352
20000,20.5,0.9266532854201804,0.24988062826070756,-0.11924227575908417
20000,21,0.9452341839961993,0.2549055677186974,-0.12293866081178674
20000,21.5,0.9635330085471683,0.2598496975586031,-0.12665261819256307
20000,22,0.9816768480331707,0.26474857129428475,-0.13033667480793426
20000,22.5,0.9996890408222318,0.26961752666908917,-0.1339886215160402
20000,23,1.0175221389501914,0.27445740945964464,-0.13762940581649546
20000,23.5,1.0351066035164689,0.2792633199448699,-0.14128073396013274
20000,24,1.0523826398256135,0.28402930785420516,-0.14495405438155023
20000,24.5,1.0693117865782713,0.2887498227902038,-0.14864898343142646
20000,25,1.0858744954439952,0.2934199867713069,-0.15235674631292814
50000,-20,-0.5418086456714094,0.2126723306338578,-0.005204735227424144
50000,-19.5,-0.5275483729444687,0.2068151294209188,-0.00899869605557703
50000,-19,-0.5136390492941811,0.2008248181603271,-0.012748964067838436
50000,-18.5,-0.5001252914925923,0.19471002483622935,-0.01644863261549157
50000,-18,-0.48707198661876483,0.18847643173506062,-0.020087924775142228
50000,-17.5,-0.47457456857213753,0.18212569021831848,-0.023652571476901044
50000,-17,-0.46276208325403134,0.17565693202452237,-0.02712086497878986
50000,-16.5,-0.4517855321140838,0.16907144593357126,-0.0304599808576257
50000,-16,-0.44179759277055375,0.1623783092093921,-0.033625904165803217
50000,-15.5,-0.43298824364410093,0.15558737657148042,-0.036580777933152744
50000,-15,-0.4258763466336555,0.14863454116871022,-0.039360288050405326
50000,-14.5,-0.42208130168857577,0.14111940650176352,-0.042213431285492715
50000,-14,-0.4245795857744974,0.13200217518108204,-0.045560012128680584
50000,-13.5,-0.43343813190649355,0.12061781696864718,-0.0492886049786184
50000,-13,-0.45247263254061776,0.10701453795549284,-0.054882728689868994
50000,-12.5,-0.5225281012723156,0.08656097434914393,-0.06402831138817926
50000,-12,-0.570061602650201,0.07056363062446318,-0.06973365117689542
50000,-11.5,-0.5845118715910045,0.06166077905894716,-0.07297167881441556
50000,-11,-0.5876317908463873,0.05527424893993867,-0.07522908157787786
50000,-10.5,-0.5821107627125985,0.05005720190284561,-0.07696585286611618
50000,-10,-0.5687449989522528,0.04566296606792278,-0.07832551727896171
50000,-9.5,-0.548901675270724,0.04193707186768616,-0.07926948957082683
50000,-9,-0.5240997490728214,0.03879508710403469,-0.07970071787169564
50000,-8.5,-0.4957012545300314,0.036176724547100594,-0.07954810768010326
50000,-8,-0.4647955598147485,0.03402054287541393,-0.07879983141506042
50000,-7.5,-0.43210191853718855,0.03225286087819249,-0.07752523453374915
50000,-7,-0.39793135872977464,0.03078773721392879,-0.075881808529134
50000,-6.5,-0.3623273071748195,0.02953274133672463,-0.07407977755004028
50000,-6,-0.32535201826150517,0.028390928953935274,-0.07230885823256675
50000,-5.5,-0.2873656729245807,0.0272580823369317,-0.07065759316449324
50000,-5,-0.24895524205873726,0.02604802360537672,-0.06904137391722878
50000,-4.5,-0.21012646807863877,0.024791871921851633,-0.06725990876692453
50000,-4,-0.16971611225783975,0.023731248431388362,-0.06531853572639042
50000,-3.5,-0.12667852025410956,0.02311128185349376,-0.06346538050548588
50000,-3,-0.08126141412868058,0.022867536365725222,-0.06184553647867608
50000,-2.5,-0.03432422956436719,0.022795572371188393,-0.060421211087912256
50000,-2,0.01344474158516358,0.022775542286521743,-0.059130421560990236
50000,-1.5,0.061716137734061226,0.02276999205239235,-0.057962398015385844
50000,-1,0.11040413394139237,0.022778816065961025,-0.05693577911279135
50000,-0.5,0.15948813219354516,0.022815941494159206,-0.056056579919441206
50000,0,0.20890217631088187,0.02289777596229393,-0.05530451453739721
50000,0.5,0.2585152885783467,0.02303638562256401,-0.05464339636443363
50000,1,0.3081562108010057,0.023237504270294303,-0.05403328617604225
50000,1.5,0.3576393153318429,0.023501973679631576,-0.053435558156738734
50000,2,0.40677874308773343,0.023828043231495934,-0.05281361832296311
50000,2.5,0.4553933087693563,0.024213292626701383,-0.05213318987941313
50000,3,0.503306044914822,0.02465613687900561,-0.05136348563787636
50000,3.5,0.5503401463275608,0.02515705385892873,-0.05047860893535739
50000,4,0.5963121065239272,0.025719458899358272,-0.04945806746120578
